developer-contribution-purpose             ,name                                       ,entry-date,start-date,end-date  
affordable-housing                         ,Affordable housing                         ,2018-12-04,2018-12-04,  
bonds                                      ,Bonds                                      ,2019-05-07,2019-05-07,
cil-administration-costs                   ,CIL administration costs                   ,2019-03-27,2019-03-27,
community-facilities                       ,Community facilities                       ,2018-12-04,2018-12-04,
community-infrastructure-levy              ,Community infrastructure levy              ,2018-12-04,2018-12-04,
digital-infrastructure                     ,Digital infrastructure                     ,2019-05-07,2019-05-07,          
economic-development                       ,Economic development                       ,2019-03-27,2019-03-27,          
education                                  ,Education                                  ,2018-12-04,2018-12-04,          
flood                                      ,Flood                                      ,2019-03-27,2019-03-27,2019-05-07
flood-and-water-management                 ,Flood and water management                 ,2019-05-07,2019-05-07,         
green-infrastructure                       ,Green infrastructure                       ,2018-12-04,2018-12-04,          
health                                     ,Health                                     ,2018-12-04,2018-12-04,          
highways                                   ,Highways                                   ,2018-12-04,2018-12-04,          
land                                       ,Land                                       ,2019-05-07,2019-05-07,          
mayoral-community-infrastructure-levy      ,Mayoral Community Infrastructure Levy      ,2019-03-27,2019-03-27,          
monitoring-fees                            ,Monitoring fees                            ,2019-03-27,2019-03-27,          
neighbourhood-community-infrastructure-levy,Neighbourhood Community Infrastructure Levy,2019-05-07,2019-05-07,
open-space                                 ,Open space                                 ,2018-12-04,2018-12-04,2019-03-27
open-space-and-leisure                     ,Open space and leisure                     ,2019-03-27,2019-03-27,
other                                      ,Other                                      ,2018-12-04,2018-12-04,
transport                                  ,Transport                                  ,2018-12-04,2018-12-04,2019-05-07
transport-and-travel                       ,Transport and travel                       ,2019-05-07,2019-05-07,
